Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
37,12/30/2017,0.08,Argentina,,1,,14,12/30/2017,1,37,2017,44271
0,12/30/2017,0,Canada,0,1,0,,12/30/2017,1,0,2017,0
0,12/30/2017,0,Virgin Islands (UK),,1,,0,12/30/2017,1,0,2017,35
122,12/30/2017,2.49,Costa Rica,,1,,122,12/30/2017,1,122,2017,4906
1,12/30/2017,0.89,Grenada,,1,,1,12/30/2017,1,1,2017,112
12,12/30/2017,0.42,Jamaica,,1,,0,12/30/2017,1,12,2017,2890
22,12/30/2017,0.02,Mexico,,1,,22,12/30/2017,1,22,2017,129163
16,12/30/2017,0.17,Honduras,,1,,0,12/30/2017,1,16,2017,9265
0,12/30/2017,0,Dominica,,1,,0,12/30/2017,1,0,2017,74
0,12/30/2017,0,Dominican Republic,,1,,0,12/30/2017,1,0,2017,10767
20,12/30/2017,0.12,Guatemala,,1,,8,12/30/2017,1,20,2017,16914
111,12/30/2017,0.67,Ecuador,,1,,75,12/30/2017,1,111,2017,16625
74,12/30/2017,0.15,Colombia,,1,,0,12/30/2017,1,74,2017,49066
2,12/30/2017,3.45,Cayman Islands,,1,,0,12/30/2017,1,2,2017,58
822,12/30/2017,0.39,Brazil,,1,,259,12/30/2017,1,822,2017,209288
44,12/30/2017,11.73,Belize,,1,,12,12/30/2017,1,44,2017,375
5,12/30/2017,1.71,Barbados,,1,,0,12/30/2017,1,5,2017,292
6,12/30/2017,1.52,Bahamas,,1,,0,12/30/2017,1,6,2017,395
14,12/30/2017,0.13,Bolivia,0,1,,8,12/30/2017,1,14,2017,11052
1,12/30/2017,20,Montserrat,,1,,0,12/30/2017,1,1,2017,5
58,12/30/2017,38.67,Curaçao,,1,,26,12/30/2017,1,58,2017,150
50,12/30/2017,43.48,Aruba,,1,,20,12/30/2017,1,50,2017,115
28,12/30/2017,0.45,Nicaragua,,1,,,12/30/2017,1,28,2017,6218
244,12/30/2017,5.95,Panama,,1,,61,12/30/2017,1,244,2017,4099
3,12/30/2017,0.04,Paraguay,,1,,0,12/30/2017,1,3,2017,6811
136,12/30/2017,0.42,Peru,,1,,21,12/30/2017,1,136,2017,32165
0,12/30/2017,0,Saint Kitts and Nevis,,1,,0,12/30/2017,1,0,2017,53
4,12/30/2017,23.53,Anguilla,,1,,2,12/30/2017,1,4,2017,17
0,12/30/2017,0,Saint Lucia,0,1,,0,12/30/2017,1,0,2017,165
1,12/30/2017,0.18,Suriname,,1,,1,12/30/2017,1,1,2017,563
2,12/30/2017,3.77,Turks and Caicos Islands,,1,,1,12/30/2017,1,2,2017,53
0,10/7/2017,0,Uruguay,0,1,0,,10/7/2017,1,0,2017,3457
,2/24/2018,,French Guiana,,1,,,2/24/2018,-,,2017,283
,4/11/2020,,El Salvador,,1,,,4/11/2020,-,,2017,6378
,12/30/2017,,United States of America,,1,,,12/30/2017,-,,2017,324460
,2/17/2018,,Guadeloupe,,1,,,2/17/2018,-,,2017,450
,12/31/2016,,Trinidad and Tobago,,1,,,12/31/2016,-,,2017,1369
,2/17/2018,,Martinique,,1,,,2/17/2018,-,,2017,385
,4/4/2020,,Venezuela,,1,,,4/4/2020,-,,2017,31977
,12/30/2017,,Cuba,,1,,,12/30/2017,-,,2017,11485
,12/31/2016,,Antigua and Barbuda,,1,,,12/31/2016,-,,2017,95
93,12/30/2017,0.21,Argentina,,8,,44,12/30/2017,8,93,2017,44271
625,12/30/2017,1.27,Colombia,,8,,3,12/30/2017,8,625,2017,49066
0,12/30/2017,0,Canada,0,8,0,,12/30/2017,8,0,2017,0
542,12/30/2017,11.05,Costa Rica,,8,,542,12/30/2017,8,542,2017,4906
90,12/30/2017,3.11,Jamaica,,8,,0,12/30/2017,8,90,2017,2890
99,12/30/2017,1.07,Honduras,,8,,1,12/30/2017,8,99,2017,9265
5,12/30/2017,4.46,Grenada,,8,,5,12/30/2017,8,5,2017,112
0,12/30/2017,0,Dominica,,8,,0,12/30/2017,8,0,2017,74
189,12/30/2017,1.12,Guatemala,,8,,46,12/30/2017,8,189,2017,16914
6,12/30/2017,0.06,Dominican Republic,,8,,0,12/30/2017,8,6,2017,10767
555,12/30/2017,3.34,Ecuador,,8,,369,12/30/2017,8,555,2017,16625
0,12/30/2017,0,Virgin Islands (UK),,8,,0,12/30/2017,8,0,2017,35
9,12/30/2017,15.52,Cayman Islands,,8,,0,12/30/2017,8,9,2017,58
7975,12/30/2017,3.81,Brazil,,8,,"2,749",12/30/2017,8,"7,975",2017,209288
415,12/30/2017,110.67,Belize,,8,,99,12/30/2017,8,415,2017,375
15,12/30/2017,5.14,Barbados,,8,,2,12/30/2017,8,15,2017,292
22,12/30/2017,5.57,Bahamas,,8,,0,12/30/2017,8,22,2017,395
458,12/30/2017,4.14,Bolivia,0,8,,248,12/30/2017,8,458,2017,11052
108,12/30/2017,0.08,Mexico,,8,,108,12/30/2017,8,108,2017,129163
2,12/30/2017,40,Montserrat,,8,,0,12/30/2017,8,2,2017,5
322,12/30/2017,214.67,Curaçao,,8,,119,12/30/2017,8,322,2017,150
394,12/30/2017,342.61,Aruba,,8,,305,12/30/2017,8,394,2017,115
188,12/30/2017,3.02,Nicaragua,,8,,,12/30/2017,8,188,2017,6218
985,12/30/2017,24.03,Panama,,8,,116,12/30/2017,8,985,2017,4099
41,12/30/2017,0.6,Paraguay,,8,,0,12/30/2017,8,41,2017,6811
1037,12/30/2017,3.22,Peru,,8,,151,12/30/2017,8,"1,037",2017,32165
0,12/30/2017,0,Saint Kitts and Nevis,,8,,0,12/30/2017,8,0,2017,53
9,12/30/2017,52.94,Anguilla,,8,,4,12/30/2017,8,9,2017,17
0,12/30/2017,0,Saint Lucia,0,8,,0,12/30/2017,8,0,2017,165
8,12/30/2017,1.42,Suriname,,8,,1,12/30/2017,8,8,2017,563
18,12/30/2017,33.96,Turks and Caicos Islands,,8,,1,12/30/2017,8,18,2017,53
0,10/7/2017,0,Uruguay,0,8,0,,10/7/2017,8,0,2017,3457
,2/24/2018,,French Guiana,,8,,,2/24/2018,-,,2017,283
,4/11/2020,,El Salvador,,8,,,4/11/2020,-,,2017,6378
,12/30/2017,,United States of America,,8,,,12/30/2017,-,,2017,324460
