,Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
36,0.0,1/2/2016,0,United States of America,0.0,1,,0,1/2/2016,1,0,2015,325128.0
81,0.0,1/2/2016,0,United States of America,0.0,2,,0,1/2/2016,2,0,2015,325128.0
126,0.0,1/2/2016,0,United States of America,0.0,3,,0,1/2/2016,3,0,2015,325128.0
175,0.0,1/2/2016,0,United States of America,0.0,4,,0,1/2/2016,4,0,2015,325128.0
220,0.0,1/2/2016,0,United States of America,0.0,5,,0,1/2/2016,5,0,2015,325128.0
265,0.0,1/2/2016,0,United States of America,0.0,6,,0,1/2/2016,6,0,2015,325128.0
310,0.0,1/2/2016,0,United States of America,0.0,7,,0,1/2/2016,7,0,2015,325128.0
355,0.0,1/2/2016,0,United States of America,0.0,8,,0,1/2/2016,8,0,2015,325128.0
400,0.0,1/2/2016,0,United States of America,0.0,9,,0,1/2/2016,9,0,2015,325128.0
445,0.0,1/2/2016,0,United States of America,0.0,10,,0,1/2/2016,10,0,2015,325128.0
490,0.0,1/2/2016,0,United States of America,0.0,11,,0,1/2/2016,11,0,2015,325128.0
535,0.0,1/2/2016,0,United States of America,0.0,12,,0,1/2/2016,12,0,2015,325128.0
580,0.0,1/2/2016,0,United States of America,0.0,13,,0,1/2/2016,13,0,2015,325128.0
625,0.0,1/2/2016,0,United States of America,0.0,14,,0,1/2/2016,14,0,2015,325128.0
670,0.0,1/2/2016,0,United States of America,0.0,15,,0,1/2/2016,15,0,2015,325128.0
715,0.0,1/2/2016,0,United States of America,0.0,16,,0,1/2/2016,16,0,2015,325128.0
760,0.0,1/2/2016,0,United States of America,0.0,17,,0,1/2/2016,17,0,2015,325128.0
805,0.0,1/2/2016,0,United States of America,0.0,18,,0,1/2/2016,18,0,2015,325128.0
850,0.0,1/2/2016,0,United States of America,0.0,19,,0,1/2/2016,19,0,2015,325128.0
895,0.0,1/2/2016,0,United States of America,0.0,20,,0,1/2/2016,20,0,2015,325128.0
940,0.0,1/2/2016,0,United States of America,0.0,21,,0,1/2/2016,21,0,2015,325128.0
985,0.0,1/2/2016,0,United States of America,0.0,22,,0,1/2/2016,22,0,2015,325128.0
1030,0.0,1/2/2016,0,United States of America,0.0,23,,0,1/2/2016,23,0,2015,325128.0
1075,0.0,1/2/2016,0,United States of America,0.0,24,,0,1/2/2016,24,0,2015,325128.0
1120,0.0,1/2/2016,0,United States of America,0.0,25,,0,1/2/2016,25,0,2015,325128.0
1165,0.0,1/2/2016,0,United States of America,0.0,26,,0,1/2/2016,26,0,2015,325128.0
1210,0.0,1/2/2016,0,United States of America,0.0,27,,0,1/2/2016,27,0,2015,325128.0
1255,0.0,1/2/2016,0,United States of America,0.0,28,,0,1/2/2016,28,0,2015,325128.0
1300,0.0,1/2/2016,0,United States of America,0.0,29,,0,1/2/2016,29,0,2015,325128.0
1345,0.0,1/2/2016,0,United States of America,0.0,30,,0,1/2/2016,30,0,2015,325128.0
1390,0.0,1/2/2016,0,United States of America,0.0,31,,0,1/2/2016,31,0,2015,325128.0
1436,0.0,1/2/2016,0,United States of America,0.0,32,,0,1/2/2016,32,0,2015,325128.0
1481,0.0,1/2/2016,0,United States of America,0.0,33,,0,1/2/2016,33,0,2015,325128.0
1526,0.0,1/2/2016,0,United States of America,0.0,34,,0,1/2/2016,34,0,2015,325128.0
1571,0.0,1/2/2016,0,United States of America,0.0,35,,0,1/2/2016,35,0,2015,325128.0
1616,0.0,1/2/2016,0,United States of America,0.0,36,,0,1/2/2016,36,0,2015,325128.0
1661,0.0,1/2/2016,0,United States of America,0.0,37,,0,1/2/2016,37,0,2015,325128.0
1706,0.0,1/2/2016,0,United States of America,0.0,38,,0,1/2/2016,38,0,2015,325128.0
1751,0.0,1/2/2016,0,United States of America,0.0,39,,0,1/2/2016,39,0,2015,325128.0
1796,0.0,1/2/2016,0,United States of America,0.0,40,,0,1/2/2016,40,0,2015,325128.0
1841,0.0,1/2/2016,0,United States of America,0.0,41,,0,1/2/2016,41,0,2015,325128.0
1886,0.0,1/2/2016,0,United States of America,0.0,42,,0,1/2/2016,42,0,2015,325128.0
1931,0.0,1/2/2016,0,United States of America,0.0,43,,0,1/2/2016,43,0,2015,325128.0
1976,0.0,1/2/2016,0,United States of America,0.0,44,,0,1/2/2016,44,0,2015,325128.0
2021,0.0,1/2/2016,0,United States of America,0.0,45,,0,1/2/2016,45,0,2015,325128.0
2066,0.0,1/2/2016,0,United States of America,0.0,46,,0,1/2/2016,46,0,2015,325128.0
2111,0.0,1/2/2016,0,United States of America,0.0,47,,0,1/2/2016,47,0,2015,325128.0
2156,0.0,1/2/2016,0,United States of America,0.0,48,,0,1/2/2016,48,0,2015,325128.0
2201,0.0,1/2/2016,0,United States of America,0.0,49,,0,1/2/2016,49,0,2015,325128.0
2246,0.0,1/2/2016,0,United States of America,0.0,50,,0,1/2/2016,50,0,2015,325128.0
2291,0.0,1/2/2016,0,United States of America,0.0,51,,0,1/2/2016,51,0,2015,325128.0
2336,0.0,1/2/2016,0,United States of America,0.0,52,62,0,1/2/2016,52,0,2015,325128.0
2381,0.0,1/2/2016,0,United States of America,0.0,53,62,0,1/2/2016,52,0,2015,325128.0
2433,,12/31/2016,,United States of America,,1,,,12/31/2016,-,,2016,324119.0
2482,,12/31/2016,,United States of America,,2,,,12/31/2016,-,,2016,324119.0
2531,,12/31/2016,,United States of America,,3,,,12/31/2016,-,,2016,324119.0
2580,,12/31/2016,,United States of America,,4,,,12/31/2016,-,,2016,324119.0
2629,,12/31/2016,,United States of America,,5,,,12/31/2016,-,,2016,324119.0
2678,,12/31/2016,,United States of America,,6,,,12/31/2016,-,,2016,324119.0
2727,,12/31/2016,,United States of America,,7,,,12/31/2016,-,,2016,324119.0
2776,,12/31/2016,,United States of America,,8,,,12/31/2016,-,,2016,324119.0
2825,,12/31/2016,,United States of America,,9,,,12/31/2016,-,,2016,324119.0
