tweet_count,tk_zika,tk_zikv,tk_mosquito,tk_aedes,tk_flavivirus,submission_count,ph_account_counts,comment_count,num_science_submissions,num_science_comments,num_zika_submissions,num_zika_comments,num_health_submissions,num_health_comments,brazil_counts,observed
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,173,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,313,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,451,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0
0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,737,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0
0,0,0,0,0,0,4,0,6,0,1,0,0,0,0,1107,0
0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1110,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1244,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1234,0
0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1379,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1335,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3003,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2604,0
0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2088,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1293,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,0
0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,834,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,577,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,532,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,480,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,486,0
0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,576,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,696,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,868,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1319,0
2,0,0,2,0,0,6,0,3,0,0,0,0,0,0,2287,0
169,3,0,176,1,0,8,0,7,0,0,0,0,1,0,4151,0
158,5,0,158,1,0,19,0,19,0,0,0,0,0,0,4800,0
221,7,0,221,1,0,11,0,21,1,0,0,0,0,0,4289,0
192,5,1,196,1,0,11,0,12,1,0,0,0,1,0,3633,0
228,11,1,231,5,0,12,0,86,0,0,0,0,1,0,1572,0
216,11,0,223,0,0,20,0,35,2,1,0,0,0,0,0,0
185,18,0,188,2,0,35,0,40,2,10,0,0,4,1,8740,0
254,109,0,184,1,0,103,0,57,3,1,0,0,10,6,8918,0
342,204,3,193,12,0,393,0,346,2,0,0,0,20,1,10043,0
1414,1202,3,413,7,0,1833,0,1939,23,12,50,11,85,1,10949,0
2485,2322,6,529,18,1,2491,3,2816,32,209,111,35,120,11,13419,0
1375,1197,4,364,2,1,1351,2,1737,19,94,95,21,70,4,15737,0
419,382,7,122,3,0,900,3,1403,12,14,40,4,46,6,21999,0
714,570,2,237,2,0,653,0,629,8,1,44,6,37,2,21450,0
713,532,5,268,1,2,522,1,588,8,81,49,26,32,4,20808,0
723,437,4,360,1,1,400,1,561,11,108,48,5,19,0,18141,0
375,188,5,213,6,0,251,1,348,10,3,28,6,14,0,16165,0
0,0,0,0,0,0,298,0,447,2,6,20,10,19,0,13337,0
424,296,4,193,6,1,258,0,332,11,12,25,14,26,4,13093,0
673,262,1,484,4,0,251,0,435,6,41,19,4,17,1,11682,0
1092,725,5,479,10,1,558,0,696,20,27,27,5,30,3,10376,0
981,437,8,638,10,2,288,1,438,4,3,26,5,18,0,8682,41
958,531,2,539,11,0,331,2,429,8,2,22,3,23,2,7621,30
948,552,7,506,5,0,308,0,601,12,29,18,0,11,0,6347,40
1083,628,3,607,10,0,377,0,847,20,13,13,1,16,0,5101,45
1539,1088,4,597,1,0,465,0,710,6,5,21,4,27,3,4171,25
1824,974,1,1168,4,0,470,2,966,7,9,24,5,20,5,3034,70
2089,919,5,1332,3,1,456,0,1009,5,124,27,3,24,1,2947,65
2042,946,2,1284,5,0,584,2,1663,10,138,14,4,24,2,2536,64
1509,530,0,1095,2,3,429,5,737,3,2,17,2,23,3,1920,115
2069,1040,1,1227,9,0,634,1,1361,11,81,22,1,30,2,1561,198
1923,1010,1,1067,1,0,606,4,1312,18,44,18,3,37,14,1327,173
1802,675,3,1245,2,1,341,6,856,2,10,10,0,26,5,1164,95
1732,796,2,1087,3,0,415,5,786,6,9,12,5,17,8,1001,257
1743,775,2,1128,4,0,431,8,820,6,9,21,12,26,4,936,165
2412,1465,2,1277,4,1,806,6,1294,10,12,29,2,22,0,753,136
5453,4473,1,1702,19,2,1380,5,3276,12,13,32,12,56,10,753,294
3439,2516,1,1307,6,0,852,11,2421,13,66,25,8,29,2,703,224
2634,1721,2,1201,4,1,774,7,2064,11,41,24,10,46,5,606,219
2456,1655,2,1097,7,0,787,3,1374,5,7,28,13,40,1,498,263
2090,1337,5,1054,6,1,1019,2,1219,13,41,30,7,31,2,443,209
2448,1779,1,917,6,0,690,0,2447,7,192,24,4,30,11,410,182
1302,764,1,683,1,0,358,0,962,2,5,8,3,12,2,406,262
1266,683,1,722,5,1,184,4,636,3,2,3,0,9,0,337,193
899,486,4,485,2,0,317,1,549,5,52,11,2,8,0,344,122
772,295,1,545,3,1,193,11,487,12,44,9,1,15,0,345,75
603,239,0,397,2,0,181,0,482,2,4,10,3,4,0,373,72
597,218,3,432,5,0,151,0,346,1,0,6,1,7,0,436,41
496,197,3,338,0,3,189,0,387,2,4,3,2,10,0,390,46
412,177,0,273,2,0,227,0,432,11,63,2,0,6,2,407,79
324,141,0,201,0,0,224,0,275,5,1,3,1,5,3,447,172
353,184,2,209,0,1,334,0,273,5,1,7,1,8,0,409,68
260,107,1,163,3,0,256,0,245,4,3,4,0,7,1,467,79
327,240,1,120,0,0,280,0,296,1,3,4,1,9,0,528,42
220,143,0,115,1,0,196,0,226,2,5,5,1,4,1,544,138
294,201,3,117,1,0,237,1,225,8,4,10,2,4,0,472,50
207,98,0,127,1,1,143,0,274,7,12,3,1,2,0,429,27
226,93,0,145,2,0,121,0,292,1,1,2,1,4,0,199,1
224,93,1,143,0,0,74,0,187,2,1,2,0,2,1,0,1
209,82,1,136,1,0,83,0,234,3,0,1,0,1,0,822,6
181,68,0,125,0,0,78,1,210,3,3,5,2,3,0,880,17
142,64,3,83,0,0,50,0,260,1,2,1,1,1,1,947,10
159,69,0,98,0,0,102,0,201,1,2,2,1,1,0,1086,11
210,75,1,150,1,0,57,0,183,2,2,2,1,1,0,1115,7
233,67,5,173,2,0,72,0,221,3,13,5,1,0,0,1157,16
269,60,1,224,0,0,90,0,235,2,18,12,11,3,0,1096,12
289,135,1,172,4,0,99,1,170,5,18,7,2,2,0,872,10
242,71,2,186,1,1,156,0,164,1,4,2,1,5,0,1039,11
219,52,0,172,1,0,106,0,201,0,1,1,1,1,0,1158,12
318,59,2,275,2,0,53,0,248,5,2,3,0,1,0,1251,9
408,124,10,295,2,3,199,0,225,5,1,2,3,5,1,1252,7
291,104,0,210,1,0,210,0,156,3,2,7,11,6,0,1252,4
323,78,0,277,4,0,69,0,186,2,2,1,0,1,0,1186,7
385,119,4,316,8,0,131,0,303,4,65,6,3,2,1,1097,5
349,133,2,257,5,0,86,1,191,1,1,6,1,3,0,1095,11
372,134,2,279,0,0,111,0,173,4,0,3,1,1,0,1039,-38
327,87,2,268,1,0,126,0,153,2,1,5,4,1,0,1180,49
343,64,1,302,3,0,117,0,158,2,0,2,3,3,0,1036,2
481,105,0,416,0,0,237,0,236,2,0,5,1,7,0,1017,2
768,204,2,596,3,7,175,0,224,3,11,3,0,4,0,971,10
629,102,0,562,1,1,165,0,172,1,3,6,4,3,0,883,5
375,60,1,344,2,0,121,0,219,6,8,1,1,0,0,771,3
277,30,1,268,0,1,119,0,249,2,2,3,2,2,0,596,5
575,61,2,547,2,0,80,0,260,1,89,0,0,0,0,516,14
1067,62,0,1058,1,0,40,0,206,0,0,1,0,1,0,493,13
768,54,0,747,1,1,162,0,187,1,2,1,0,2,0,370,6
743,64,1,716,0,0,80,0,177,0,1,1,1,0,0,371,4
694,60,0,673,1,0,89,0,136,1,1,3,2,1,0,319,16
724,88,1,690,3,0,106,2,159,0,9,0,0,0,0,286,2
539,34,0,537,3,0,66,0,142,0,0,0,1,0,0,287,12
613,36,0,612,0,0,54,1,147,0,0,2,2,0,0,261,10
555,46,0,545,6,0,58,0,182,2,2,3,5,1,0,248,6
589,55,1,569,3,0,32,0,170,0,1,2,1,1,1,231,23
352,41,1,330,1,0,148,0,200,9,5,2,2,2,0,208,13
442,28,2,436,3,0,33,0,129,0,2,3,6,0,0,171,10
399,53,0,373,2,0,33,1,130,2,3,4,2,0,1,210,10
354,51,0,327,2,0,104,1,133,7,4,1,1,0,0,213,4
312,35,3,297,2,0,122,0,148,1,0,2,1,1,0,169,20
216,12,1,215,1,0,52,0,163,1,24,0,0,0,0,228,15
244,19,1,235,0,0,25,2,134,0,3,3,1,0,0,207,6
218,23,3,201,1,0,26,0,114,1,0,0,0,0,0,222,15
207,38,0,187,1,1,30,0,114,0,3,1,1,0,0,172,3
239,32,3,206,2,2,88,1,139,0,1,1,2,0,0,213,2
166,16,2,155,1,0,56,0,93,3,3,0,0,0,0,220,11
119,24,0,98,3,0,24,0,67,1,1,0,0,0,0,221,13
119,16,1,101,2,0,26,0,89,0,0,0,0,0,0,216,6
72,12,0,62,5,0,47,0,117,2,0,0,0,0,0,207,6
105,27,1,77,2,1,69,0,223,1,8,1,0,3,0,223,2
89,16,1,81,1,1,33,0,95,0,1,0,0,1,0,215,7
78,17,0,68,0,0,35,0,77,0,2,0,0,1,0,162,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
