epoch,observed,tweet_count,r_sub_count,r_comment_count
1,15,0,0,0
2,11,0,1,0
3,16,0,1,1
4,16,0,0,0
5,28,0,0,0
6,18,0,0,0
7,20,0,1,0
8,10,0,0,0
9,15,0,0,0
10,22,0,0,0
11,52,0,0,1
12,114,0,1,0
13,154,0,1,0
14,173,0,1,0
15,313,0,0,2
16,451,0,0,1
17,416,0,0,0
18,737,0,5,2
19,854,0,0,0
20,1107,0,4,6
21,1110,0,8,0
22,1244,0,1,0
23,1234,0,1,0
24,1379,0,5,2
25,1335,0,0,1
26,1689,0,0,0
27,2520,0,0,0
28,3003,0,1,1
29,2604,0,0,1
30,2088,0,1,2
31,1736,0,0,0
32,1293,0,0,1
33,1048,0,0,0
34,834,0,1,2
35,624,0,0,0
36,620,0,0,0
37,577,0,0,1
38,518,0,0,0
39,532,0,1,0
40,480,0,0,1
41,472,0,0,0
42,486,0,1,0
43,576,0,3,2
44,696,0,1,1
45,868,0,1,0
46,1319,0,1,0
47,2287,2,6,3
48,4151,169,8,7
49,4800,158,19,19
50,4289,221,11,21
51,3633,192,11,12
52,1572,228,12,86
53,0,216,20,35
54,8740,185,35,40
55,8918,254,103,57
56,10043,342,393,346
57,10949,1414,1833,1939
58,13419,2485,2491,2816
59,15737,1375,1351,1737
60,21999,419,900,1403
61,21450,714,653,629
62,20808,713,522,588
63,18141,723,400,561
64,16165,375,251,348
65,13337,0,298,447
66,13093,424,258,332
67,11682,673,251,435
68,10376,1092,558,696
69,8682,981,288,438
70,7621,958,331,429
71,6347,948,308,601
72,5101,1083,377,847
73,4171,1539,465,710
74,3034,1824,470,966
75,2947,2089,456,1009
76,2536,2042,584,1663
77,1920,1509,429,737
78,1561,2069,634,1361
79,1327,1923,606,1312
80,1164,1802,341,856
81,1001,1732,415,786
82,936,1743,431,820
83,753,2412,806,1294
84,753,5453,1380,3276
85,703,3439,852,2421
86,606,2634,774,2064
87,498,2456,787,1374
88,443,2090,1019,1219
89,410,2448,690,2447
90,406,1302,358,962
91,337,1266,184,636
92,344,899,317,549
93,345,772,193,487
94,373,603,181,482
95,436,597,151,346
96,390,496,189,387
97,407,412,227,432
98,447,324,224,275
99,409,353,334,273
100,467,260,256,245
101,528,327,280,296
102,544,220,196,226
103,472,294,237,225
104,429,207,143,274
105,199,226,121,292
106,0,224,74,187
107,822,209,83,234
108,880,181,78,210
109,947,142,50,260
110,1086,159,102,201
111,1115,210,57,183
112,1157,233,72,221
113,1096,269,90,235
114,872,289,99,170
115,1039,242,156,164
116,1158,219,106,201
117,1251,318,53,248
118,1252,408,199,225
119,1252,291,210,156
120,1186,323,69,186
121,1097,385,131,303
122,1095,349,86,191
123,1039,372,111,173
124,1180,327,126,153
125,1036,343,117,158
126,1017,481,237,236
127,971,768,175,224
128,883,629,165,172
129,771,375,121,219
130,596,277,119,249
131,516,575,80,260
132,493,1067,40,206
133,370,768,162,187
134,371,743,80,177
135,319,694,89,136
136,286,724,106,159
137,287,539,66,142
138,261,613,54,147
139,248,555,58,182
140,231,589,32,170
141,208,352,148,200
142,171,442,33,129
143,210,399,33,130
144,213,354,104,133
145,169,312,122,148
146,228,216,52,163
147,207,244,25,134
148,222,218,26,114
149,172,207,30,114
150,213,239,88,139
151,220,166,56,93
152,221,119,24,67
153,216,119,26,89
154,207,72,47,117
155,223,105,69,223
156,215,89,33,95
157,162,78,35,77
158,97,0,0,0
159,0,0,0,0
